date,murder,attempted_murder,accessory_murder,manslaughter,assault_domestic,assault_nondomestic,assault_police,assault_sexual,sexual_other,abduction,robbery_unarmed,robbery_gun,robbery_nogun,blackmail,stalking,offence_against_person,be_dwelling,be_nondwelling,handling_stolen,theft_car,theft_incar,theft_store,theft_dwelling,theft_person,theft_stock,fraud,theft_other,arson,damage,possession_cocaine,possession_narcotics,possession_cannibis,possession_amphetamines,possession_ecstasy,possession_other,dealing_cocaine,dealing_narcotics,dealing_cannabis,dealing_amphetamines,dealing_ecstasy,dealing_other,cultivating_cannabis,manufacture_drug,importing_drugs,drug_other,weapons_offence,trespass,offensive_conduct,offensive_language,criminal_intent,gaming_offence,drink_offence,porn_offence,prostitution_offence,escape_custody,breach_avo,breach_bail,fail_to_appear,resist_officer,against_justice,transport_offence,other
1/1/1995,9,1,0,0,613,2414,195,235,394,15,413,84,178,1,346,96,4988,3629,418,3857,4447,1658,2298,826,74,1257,3913,268,6178,8,109,663,51,3,25,3,21,58,27,0,6,343,0,1,179,275,252,317,536,167,3,67,2,49,36,267,135,141,397,300,40,596
2/1/1995,11,3,2,2,591,2277,177,157,345,16,333,60,105,2,336,69,4110,2981,438,3694,4485,1713,1960,715,59,1229,3552,198,5351,9,84,737,86,6,23,6,42,121,50,1,9,349,1,0,192,283,235,264,469,138,3,72,3,17,29,240,115,143,347,294,57,516
3/1/1995,10,4,0,1,625,2381,181,199,434,23,366,58,122,2,436,81,4951,3369,541,4134,4468,1901,2061,764,83,1637,3960,209,5752,13,139,948,80,4,23,6,90,162,34,1,8,339,1,1,206,329,225,275,480,133,6,99,4,35,34,292,144,135,338,387,57,560
4/1/1995,11,6,0,2,638,2158,177,188,333,22,363,70,129,1,423,84,4656,3202,475,3583,3953,1734,1846,740,58,1541,3446,252,5529,16,102,919,61,2,27,5,37,172,22,2,4,236,0,2,195,357,242,247,425,149,8,101,1,52,24,285,131,121,322,304,53,492
5/1/1995,7,5,2,1,602,2127,131,148,342,14,358,68,153,3,478,72,4855,3343,521,3833,3873,2086,2029,859,79,1325,3811,231,5739,16,110,849,57,2,36,13,61,113,20,2,13,136,0,1,206,300,248,219,383,152,4,87,3,35,23,286,139,158,289,384,86,616
6/1/1995,10,1,0,0,608,2136,146,160,314,13,319,83,120,1,533,72,4932,3181,597,3643,4292,1935,1953,817,80,1323,3575,229,5610,6,115,835,91,1,15,5,76,122,35,2,12,130,3,0,217,346,227,219,357,139,7,68,3,28,20,296,123,173,282,329,66,544
7/1/1995,8,5,0,1,639,2136,154,174,272,19,361,55,153,0,521,83,4967,3435,522,3812,4419,1963,2094,740,86,1408,3674,280,6226,21,108,709,70,5,22,14,81,77,19,3,5,116,0,0,184,392,221,216,324,146,5,58,1,31,26,300,121,158,281,357,84,586
8/1/1995,14,1,1,0,741,2322,119,229,428,23,335,67,159,2,622,61,5524,3431,584,3938,4839,1933,2196,792,73,1648,3953,304,5789,14,107,704,70,4,22,7,64,93,23,2,5,176,1,3,240,348,240,197,331,136,2,81,6,35,30,340,123,192,217,365,87,660
9/1/1995,10,6,0,1,714,2407,135,218,359,13,360,47,152,3,618,75,5569,3437,596,4068,5078,1988,2113,782,73,1536,3784,273,6161,7,103,668,69,3,24,1,77,75,23,1,7,181,0,0,156,304,252,228,345,138,3,109,3,31,28,318,141,160,305,394,53,603
10/1/1995,9,9,1,0,830,2605,148,196,391,21,412,51,215,1,583,89,5721,3607,614,4319,5503,1971,2348,918,69,1917,4243,329,6867,10,119,649,63,9,22,6,62,85,23,6,8,227,2,2,170,308,252,216,357,152,4,99,1,50,39,343,168,174,254,385,52,547
